d,n,k,theta,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
344,511,170,1.3136149956610188,128.11019451674656,5052268,0.460712849852353,g,58,58,824,1416,33752,308334,1528,11144,922
352,511,170,1.312631131472753,130.5598876207306,5818063,0.461381991014701,g,59,59,825,1436,33774,310970,1528,11152,930
360,511,170,1.3116867036646038,133.008729104117,6720846,0.462014692516886,g,60,60,826,1456,33796,313646,1528,11160,938
368,511,170,1.310776668139777,135.45675158695306,7786208,0.462613590268996,g,61,61,827,1476,33818,316362,1528,11168,946
376,511,170,1.3099007784588554,137.90485239988203,9045285,0.463181211713202,g,63,63,829,1516,33862,321914,1528,11184,962
384,1023,341,1.3049891673987966,141.18383155723123,23545555,0.445984190068363,g,63,63,1597,1572,66620,635658,3064,21936,1076
392,1023,341,1.3042758111944956,143.62977765822674,21725081,0.44669472307373,g,64,64,1598,1592,66642,638550,3064,21944,1084
400,1023,341,1.3035872169107385,146.0749917746105,20105218,0.447371424951404,g,65,65,1599,1612,66664,641482,3064,21952,1092
408,1023,341,1.3029230258093971,148.51950329254947,18660571,0.448016909656078,g,66,66,1600,1632,66686,644454,3064,21960,1100
416,1023,341,1.302204902629846,150.96334966802425,17218514,0.448632547822735,g,67,67,1601,1652,66708,647466,3064,21968,1108
424,1023,341,1.3016612781472967,153.40696830399568,16203619,0.449223684201914,g,69,69,1603,1692,66752,653610,3064,21984,1124
432,1023,341,1.3010634011155422,155.84953433154652,15158395,0.449789306466413,g,70,70,1604,1712,66774,656742,3064,21992,1132
440,1023,341,1.3004852759816967,158.29150161933183,14213752,0.45033234082862,g,71,71,1605,1732,66796,659914,3064,22000,1140
448,1023,341,1.2999263028409391,160.73289315379586,13358074,0.450854553240375,g,72,72,1606,1752,66818,663126,3064,22008,1148
456,1023,341,1.2993855400624907,163.17373054556313,12580787,0.451357564124874,g,73,73,1607,1772,66840,666378,3064,22016,1156
464,1023,341,1.2988595304823847,165.61403437028162,11869424,0.451842831261813,g,74,74,1608,1792,66862,669670,3064,22024,1164
472,1023,341,1.2983525702411485,168.0538241392471,11223061,0.452311784118569,g,75,75,1609,1812,66884,673002,3064,22032,1172
480,1023,341,1.2978589078495033,170.4935562082079,10628518,0.452765614663705,g,77,77,1611,1852,66928,679786,3064,22048,1188
488,1023,341,1.2973820300136178,172.93237233438978,10085027,0.453205519542726,g,78,78,1612,1872,66950,683238,3064,22056,1196
496,1023,341,1.2969193854740007,175.37072719756247,9585143,0.453632523863932,g,79,79,1613,1892,66972,686730,3064,22064,1204
504,1023,341,1.296470041218615,177.80863663149822,9124091,0.454047580565832,g,80,80,1614,1912,66994,690262,3064,22072,1212
512,1023,341,1.2960336309076779,180.24611566704533,8698204,0.454451564338716,g,81,81,1615,1932,67016,693834,3064,22080,1220
520,1023,341,1.2956082453981306,182.6831785830665,8302810,0.454845253916598,g,82,82,1616,1952,67038,697446,3064,22088,1228
528,1023,341,1.295195837087091,185.119838930149,7937180,0.455229399871237,g,83,83,1617,1972,67060,701098,3064,22096,1236
536,1023,341,1.294797087722832,187.556109591033,7599457,0.455604671382591,g,84,84,1618,1992,67082,704790,3064,22104,1244
544,1023,341,1.2944052207856969,189.9924391197362,7282007,0.455971592937167,g,86,86,1620,2032,67126,712294,3064,22120,1260
552,1023,341,1.2940246374759095,192.4279664054635,6986798,0.456330758796857,g,87,87,1621,2052,67148,716106,3064,22128,1268
560,1023,341,1.2936562804004053,194.86313899480749,6712835,0.45668267254367,g,88,88,1622,2072,67170,719958,3064,22136,1276
568,1023,341,1.293287451027273,197.2986138448655,6449626,0.457027639521308,g,89,89,1623,2092,67192,723850,3064,22144,1284
576,1023,341,1.2929363644761442,199.73274095634005,6208979,0.45736626503521,g,90,90,1624,2112,67214,727782,3064,22152,1292
584,1023,341,1.292592050119896,202.16653381028618,5981976,0.457698791358869,g,91,91,1625,2132,67236,731754,3064,22160,1300
592,1023,341,1.292260112415501,204.6000036279023,5771247,0.458025608456678,g,92,92,1626,2152,67258,735766,3064,22168,1308
600,1023,341,1.2919353559051698,207.03316115475147,5572494,0.458346952207935,g,93,93,1627,2172,67280,739818,3064,22176,1316
608,1023,341,1.2916177617158708,209.4664514473328,5384961,0.458663095264037,g,95,95,1629,2212,67324,748042,3064,22192,1332
616,1023,341,1.2913082425718365,211.89901469548988,5208468,0.458974279591975,g,96,96,1630,2232,67346,752214,3064,22200,1340
624,1023,341,1.2910047799983995,214.33129523677533,5041228,0.45928069977084,g,97,97,1631,2252,67368,756426,3064,22208,1348
632,1023,341,1.2907080217770086,216.76330212285885,4883047,0.459582555174417,g,98,98,1632,2272,67390,760678,3064,22216,1356
640,1023,341,1.290421926189085,219.19504394936894,4735404,0.459880061389697,g,99,99,1633,2292,67412,764970,3064,22224,1364
648,1023,341,1.2901396225528832,221.62652899582244,4594239,0.460173297137474,g,100,100,1634,2312,67434,769302,3064,22232,1372
656,1023,341,1.2898632393794525,224.05776515315188,4460246,0.460462423558892,g,101,101,1635,2332,67456,773674,3064,22240,1380
664,1023,341,1.2895954975123807,226.4887599380085,4334293,0.460747593471915,g,102,102,1636,2352,67478,778086,3064,22248,1388
672,1023,341,1.2893308079805237,228.91995389257974,4213389,0.461028855424844,g,104,104,1638,2392,67522,787030,3064,22264,1404
680,1023,341,1.2890754288652897,231.35048711676455,4100042,0.461306375933369,g,105,105,1639,2412,67544,791562,3064,22272,1412
688,1023,341,1.2888216897669431,233.7807996201498,3990543,0.461580158350809,g,106,106,1640,2432,67566,796134,3064,22280,1420
696,1023,341,1.2885768488039027,236.21089772591387,3887750,0.461850360003246,g,107,107,1641,2452,67588,800746,3064,22288,1428
704,1023,341,1.2883360590249069,238.64078740585526,3789327,0.462116997272347,g,108,108,1642,2472,67610,805398,3064,22296,1436
712,1023,341,1.2880980079753026,241.07047435428112,3694555,0.462380117781974,g,109,109,1643,2492,67632,810090,3064,22304,1444
720,1023,341,1.2878652123524583,243.4999640890825,3604245,0.462639804386805,g,110,110,1644,2512,67654,814822,3064,22312,1452
728,1023,341,1.2876396520486753,245.92926178723374,3518920,0.462896128153961,g,111,111,1645,2532,67676,819594,3064,22320,1460
736,1023,341,1.2874179168920574,248.35880440999048,3437077,0.463149096178978,g,113,113,1647,2572,67720,829258,3064,22336,1476
744,1023,341,1.2871992292229557,250.78773261662536,3358286,0.463398739871079,g,114,114,1648,2592,67742,834150,3064,22344,1484
752,1023,341,1.286985458240603,253.21648307823335,3283072,0.463645115545011,g,115,115,1649,2612,67764,839082,3064,22352,1492
760,1023,341,1.2867753371087318,255.6450601184807,3210841,0.463888241990746,g,116,116,1650,2632,67786,844054,3064,22360,1500
768,1023,341,1.2865705691047082,258.07346786964933,3142030,0.464128167343007,g,117,117,1651,2652,67808,849066,3064,22368,1508
776,1023,341,1.286369573960462,260.50171098771705,3075971,0.464365080471879,g,118,118,1652,2672,67830,854118,3064,22376,1516
784,1023,341,1.2861699703639444,262.92979102100156,3011791,0.464598414561976,g,119,119,1653,2692,67852,859210,3064,22384,1524
792,1023,341,1.2859764575637724,265.3577138961694,2950891,0.464828841278973,g,120,120,1654,2712,67874,864342,3064,22392,1532
800,1023,341,1.2857873092311454,267.78591287434347,2892596,0.465056153722481,g,122,122,1656,2752,67918,874726,3064,22408,1548
808,1023,341,1.2855990490925984,270.2135298309466,2835758,0.465280335420607,g,123,123,1657,2772,67940,879978,3064,22416,1556
816,1023,341,1.2854162586810849,272.6409986977465,2781677,0.46550145533964,g,124,124,1658,2792,67962,885270,3064,22424,1564
824,1023,341,1.2852348264157945,275.0683224658427,2729053,0.465719488779731,g,125,125,1659,2812,67984,890602,3064,22432,1572
832,1023,341,1.2850578347721688,277.49550400473385,2678709,0.465934487293999,g,126,126,1660,2832,68006,895974,3064,22440,1580
840,1023,341,1.284883848194938,279.92254606254477,2630157,0.466146453996702,g,127,127,1661,2852,68028,901386,3064,22448,1588
848,1023,341,1.2847137002220765,282.34945126170953,2583557,0.466355415884903,g,128,128,1662,2872,68050,906838,3064,22456,1596
856,1023,341,1.2845449765186143,284.77622212615125,2538190,0.466561365804486,g,129,129,1663,2892,68072,912330,3064,22464,1604
864,1023,341,1.2843797587359886,287.2032903694765,2494565,0.466764343915195,g,131,131,1665,2932,68116,923434,3064,22480,1620
872,1023,341,1.2842157983356315,289.62979954483484,2452040,0.46696434529804,g,132,132,1666,2952,68138,929046,3064,22488,1628
880,1023,341,1.2840598751816672,292.0561813040275,2412295,0.467161458801646,g,133,133,1667,2972,68160,934698,3064,22496,1636
888,1023,341,1.2839007445929211,294.48243770766317,2372419,0.467355587347762,g,134,134,1668,2992,68182,940390,3064,22504,1644
896,1023,341,1.2837470343531092,296.90857088787465,2334550,0.467546839338412,g,135,135,1669,3012,68204,946122,3064,22512,1652
904,1023,341,1.2835932900599192,299.33458275775627,2297299,0.467735178893022,g,136,136,1670,3032,68226,951894,3064,22520,1660
912,1023,341,1.2834434960091994,301.76047518706406,2261596,0.467920667017907,g,137,137,1671,3052,68248,957706,3064,22528,1668
920,1023,341,1.283299086081897,304.18624995565074,2227720,0.468103338719513,g,138,138,1672,3072,68270,963558,3064,22536,1676
928,1023,341,1.2831528348458454,306.6119088152316,2193948,0.468283142935623,g,139,139,1673,3092,68292,969450,3064,22544,1684
936,1023,341,1.2830099690902028,309.0378813247315,2161470,0.468460154160234,g,141,141,1675,3132,68336,981354,3064,22560,1700
944,1023,341,1.2828691387838664,311.46331316619984,2129941,0.468634381472696,g,142,142,1676,3152,68358,987366,3064,22568,1708
952,1023,341,1.2827308559773218,313.8886339073359,2099446,0.468805853032871,g,143,143,1677,3172,68380,993418,3064,22576,1716
960,1023,341,1.2825959496579598,316.31384502497474,2070132,0.468974600485159,g,144,144,1678,3192,68402,999510,3064,22584,1724
968,1023,341,1.282463160060927,318.7389479893539,2041691,0.46914063569668,g,145,145,1679,3212,68424,1005642,3064,22592,1732
976,1023,341,1.2823298916360526,321.16394413686453,2013554,0.469303958677949,g,146,146,1680,3232,68446,1011814,3064,22600,1740
984,1023,341,1.2822007417293588,323.58883484876316,1986670,0.469464638860147,g,147,147,1681,3252,68468,1018026,3064,22608,1748
992,1023,341,1.2820714331711682,326.0136214057769,1960126,0.469622661437252,g,148,148,1682,3272,68490,1024278,3064,22616,1756
1000,1023,341,1.2819441472308069,328.4387316799741,1934355,0.469778073582439,g,150,150,1684,3312,68534,1036902,3064,22632,1772
1008,1023,341,1.2818211718767338,330.86331347627885,1909791,0.469930923274976,g,151,151,1685,3332,68556,1043274,3064,22640,1780
1016,1023,341,1.2816991530411006,333.28779477540036,1885737,0.470081206513474,g,152,152,1686,3352,68578,1049686,3064,22648,1788
1024,1023,341,1.2815780059172466,335.71217669321743,1862165,0.470228950482011,g,153,153,1687,3372,68600,1056138,3064,22656,1796
