d,n,k,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
648,1023,341,225.76412412075712,44028107454055563114053632,0.464133149382954,t_count,142,142,1676,3152,68358,987366,3064,22568,1708
656,1023,341,228.27029086444696,43758200962433803763056640,0.464693191823684,t_count,143,143,1677,3172,68380,993418,3064,22576,1716
664,1023,341,230.7767757592829,43493198217562611041435648,0.465244176582151,t_count,145,145,1679,3212,68424,1005642,3064,22592,1732
672,1023,341,233.28306854732585,43232952507572602405912576,0.465785508554731,t_count,147,147,1681,3252,68468,1018026,3064,22608,1748
680,1023,341,235.7886602510963,42977323193078479933407232,0.466316630852248,t_count,148,148,1682,3272,68490,1024278,3064,22616,1756
688,1023,341,238.29457298681538,42726175387798424602542080,0.466837024956869,t_count,150,150,1684,3312,68534,1036902,3064,22632,1772
696,1023,341,240.80029746671056,42479379659466987710447616,0.467346210642995,t_count,152,152,1686,3352,68578,1049686,3064,22648,1788
704,1023,341,243.305325699083,42236811749534959516254208,0.467843745692544,t_count,153,153,1687,3372,68600,1056138,3064,22656,1796
712,1023,341,245.81067809912858,41998352310277341630693376,0.468329225432237,t_count,155,155,1689,3412,68644,1069162,3064,22672,1812
720,1023,341,248.3158463959618,41763886658045886722998272,0.468802282117869,t_count,157,157,1691,3452,68688,1082346,3064,22688,1828
728,1023,341,250.82032362078104,41533304541507500678053888,0.469262584188148,t_count,158,158,1692,3472,68710,1088998,3064,22696,1836
736,1023,341,253.325128525799,41306499923804678164316160,0.469709835408453,t_count,160,160,1694,3512,68754,1102422,3064,22712,1852
744,1023,341,255.8297538778538,41083370777659990379331584,0.470143773922794,t_count,162,162,1696,3552,68798,1116006,3064,22728,1868
752,1023,341,258.333693745084,40863818892525860116496384,0.470564171230387,t_count,163,163,1697,3572,68820,1122858,3064,22736,1876
760,1023,341,260.837965234201,40647749692951047652245504,0.470970831101492,t_count,165,165,1699,3612,68864,1136682,3064,22752,1892
768,1023,341,263.34206215242915,40435072067401361909612544,0.471363588445625,t_count,167,167,1701,3652,68908,1150666,3064,22768,1908
776,1023,341,265.845479602842,40225698206830548679131136,0.471742308143739,t_count,168,168,1702,3672,68930,1157718,3064,22776,1916
784,1023,341,268.3492330499667,40019543452351939662053376,0.472106883854706,t_count,170,170,1704,3712,68974,1171942,3064,22792,1932
792,1023,341,270.85281733171774,39816526151410494627381248,0.472457236805197,t_count,172,172,1706,3752,69018,1186326,3064,22808,1948
800,1023,341,273.3557285733348,39616567521900395627544576,0.472793314570966,t_count,173,173,1707,3772,69040,1193578,3064,22816,1956
808,1023,341,275.8589805911084,39419591523714592493535232,0.473115089856565,t_count,175,175,1709,3812,69084,1208202,3064,22832,1972
816,1023,341,278.36206923593676,39225524737250537492185088,0.47342255927961,t_count,177,177,1711,3852,69128,1222986,3064,22848,1988
824,1023,341,280.8644916356276,39034296248431385371475968,0.473715742164909,t_count,178,178,1712,3872,69150,1230438,3064,22856,1996
832,1023,341,283.3672599463745,38845837539833571748872192,0.473994679353037,t_count,180,180,1714,3912,69194,1245462,3064,22872,2012
840,1023,341,285.86987100955616,38660082387541283712270336,0.474259432027278,t_count,182,182,1716,3952,69238,1260646,3064,22888,2028
848,1023,341,288.3718229320221,38476966763375132804120576,0.474510080562273,t_count,183,183,1717,3972,69260,1268298,3064,22896,2036
856,1023,341,290.87412619480995,38296428742167126815539200,0.474746723397168,t_count,185,185,1719,4012,69304,1283722,3064,22912,2052
864,1023,341,293.3762786048263,38118408413777169511088128,0.474969475935607,t_count,187,187,1721,4052,69348,1299306,3064,22928,2068
872,1023,341,295.87777922261233,37942847799567001967394816,0.475178469474459,t_count,188,188,1722,4072,69370,1307158,3064,22936,2076
880,1023,341,298.3796368376776,37769690773067268943249408,0.475373850162823,t_count,190,190,1724,4112,69414,1322982,3064,22952,2092
888,1023,341,300.8813501967371,37598882984591063194271744,0.475555777992502,t_count,192,192,1726,4152,69458,1338966,3064,22968,2108
896,1023,341,303.3824192883491,37430371789564214226452480,0.475724425820849,t_count,193,193,1727,4172,69480,1347018,3064,22976,2116
904,1023,341,305.88385119414147,37264106180357366965338112,0.475879978426612,t_count,195,195,1729,4212,69524,1363242,3064,22992,2132
912,1023,341,308.3851455753305,37100036721419812239048704,0.476022631599197,t_count,197,197,1731,4252,69568,1379626,3064,23008,2148
920,1023,341,310.8858033235314,36938115487527280220045312,0.476152591261553,t_count,198,198,1732,4272,69590,1387878,3064,23016,2156
928,1023,341,313.3868297970681,36778296004969033390620672,0.476270072626691,t_count,200,200,1734,4312,69634,1404502,3064,23032,2172
936,1023,341,315.88772554756025,36620533195509942173302784,0.476375299387739,t_count,202,202,1736,4352,69678,1421286,3064,23048,2188
944,1023,341,318.38799234612674,36464783322974238663507968,0.476468502941244,t_count,203,203,1737,4372,69700,1429738,3064,23056,2196
952,1023,341,320.88863381389456,36311003942307419247345664,0.476549921643367,t_count,205,205,1739,4412,69744,1446762,3064,23072,2212
960,1023,341,323.3891513705074,36159153850981185023377408,0.47661980009849,t_count,207,207,1741,4452,69788,1463946,3064,23088,2228
968,1023,341,325.88904764487404,36009193042615500177145856,0.476678388479685,t_count,208,208,1742,4472,69810,1472598,3064,23096,2236
976,1023,341,328.38932450892094,35861082662698827779145728,0.47672594188041,t_count,210,210,1744,4512,69854,1490022,3064,23112,2252
984,1023,341,330.88948422995367,35714784966295642655686656,0.476762719696759,t_count,212,212,1746,4552,69898,1507606,3064,23128,2268
992,1023,341,333.3890302750346,35570263277636308166508544,0.476788985039528,t_count,213,213,1747,4572,69920,1516458,3064,23136,2276
1000,1023,341,335.8889627569635,35427481951491499008983040,0.476805004175332,t_count,215,215,1749,4612,69964,1534282,3064,23152,2292
1008,1023,341,338.3887847725016,35286406336238325740863488,0.476811045995967,t_count,217,217,1751,4652,70008,1552266,3064,23168,2308
1016,1023,341,340.88800060940434,35147002738531686150045696,0.4768073815152,t_count,218,218,1752,4672,70030,1561318,3064,23176,2316
1024,1023,341,343.38760861355587,35009238389498753761411072,0.476794283392151,t_count,220,220,1754,4712,70074,1579542,3064,23192,2332
