d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,gates,depth
360,511,170,1.1209888165340693,1.1209888165340693,128.62129593108278,54443,0.458025519649779,naive_classical,100834022874277.0,100834022874277.0
368,511,170,1.119401285935823,1.119401285935823,131.00675480915882,76077,0.458703224468689,naive_classical,164981805156658.0,164981805156658.0
376,511,170,1.1178827196245473,1.1178827196245473,133.39118613877702,106467,0.459348245732429,naive_classical,269791681158046.0,269791681158046.0
384,511,170,1.1164299865953753,1.1164299865953753,135.77463578944943,149189,0.459962520067145,naive_classical,441016982176426.0,441016982176426.0
392,511,170,1.1150382146767834,1.1150382146767834,138.1571476396057,209310,0.46054782871177,naive_classical,720601620337885.0,720601620337885.0
400,511,170,1.1137025982113817,1.1137025982113817,140.53876361359502,294015,0.461105864494141,naive_classical,1.1768218873727e+15,1.1768218873727e+15
408,511,170,1.1124211229993828,1.1124211229993828,142.91952374261587,413421,0.461638320657274,naive_classical,1.92122337306673e+15,1.92122337306673e+15
416,511,170,1.1111900383408535,1.1111900383408535,145.29946618697065,581890,0.462146743738705,naive_classical,3.13530727866095e+15,3.13530727866095e+15
424,511,170,1.1100063964025406,1.1100063964025406,147.67862729114043,819761,0.462632619405939,naive_classical,5.11476531177025e+15,5.11476531177025e+15
432,511,170,1.1088674495847954,1.1088674495847954,150.057041628525,1155857,0.463097354901954,naive_classical,8.34105747220109e+15,8.34105747220109e+15
440,511,170,1.107770608611618,1.107770608611618,152.43474205083126,1631060,0.46354228029707,naive_classical,1.35978364679764e+16,1.35978364679764e+16
448,511,170,1.1067134619409895,1.1067134619409895,154.81175974044714,2303380,0.463968651757481,naive_classical,2.21602245392189e+16,2.21602245392189e+16
456,511,170,1.1056937906077051,1.1056937906077051,157.18812426603253,3255168,0.464377654707192,naive_classical,3.61024783480159e+16,3.61024783480159e+16
464,511,170,1.1047096446670677,1.1047096446670677,159.56386363837282,4603332,0.464770408738084,naive_classical,5.87985946572927e+16,5.87985946572927e+16
472,511,170,1.1037593209434484,1.1037593209434484,161.93900436287262,6513858,0.465147969660544,naive_classical,9.57366641980234e+16,9.57366641980234e+16
480,511,170,1.102844617136829,1.102844617136829,164.3135714875369,9219408,0.465511420286532,naive_classical,1.55911174850888e+17,1.55911174850888e+17
488,511,170,1.1019539687163293,1.1019539687163293,166.6875887065164,13064028,0.465861417434044,naive_classical,2.53632417884326e+17,2.53632417884326e+17
496,511,170,1.1010971066159863,1.1010971066159863,169.06107833415524,18512279,0.466199131537987,naive_classical,4.1276936610979e+17,4.1276936610979e+17
504,511,170,1.1002652251365228,1.1002652251365228,171.43406155078662,26251842,0.466525177638108,naive_classical,6.71370360694118e+17,6.71370360694118e+17
512,511,170,1.0994608151194003,1.0994608151194003,173.80655817758546,37238382,0.466840415020844,naive_classical,1.09193630461445e+18,1.09193630461445e+18
520,1023,341,1.0987924795048947,1.0987924795048947,176.1146324445293,81855010,0.450792548960693,naive_classical,1.75018939919454e+18,1.75018939919454e+18
528,1023,341,1.0980343374922878,1.0980343374922878,178.48660233687738,115048122,0.451203482057026,naive_classical,2.84565761244294e+18,2.84565761244294e+18
536,1023,341,1.0972978633329578,1.0972978633329578,180.85812852907887,161849499,0.451602306289746,naive_classical,4.62511790539912e+18,4.62511790539912e+18
544,1023,341,1.0965848623790313,1.0965848623790313,183.22922732039672,227824679,0.451989899130393,naive_classical,7.51777427878672e+18,7.51777427878672e+18
552,1023,341,1.0958911833611085,1.0958911833611085,185.59991403855034,320973102,0.452366876573875,naive_classical,1.22146330012198e+19,1.22146330012198e+19
560,1023,341,1.0952179595553313,1.0952179595553313,187.97020311135088,452490532,0.452733982694144,naive_classical,1.98440969701296e+19,1.98440969701296e+19
568,1023,341,1.0945638636651918,1.0945638636651918,190.34010809241607,638305740,0.453091827523779,naive_classical,3.2234021468721e+19,3.2234021468721e+19
576,1023,341,1.0939280594646548,1.0939280594646548,192.70964172779355,900976555,0.453440991128502,naive_classical,5.23516930207725e+19,5.23516930207725e+19
584,1023,341,1.093309721567275,1.093309721567275,195.07881599874824,1272487403,0.453782010176126,naive_classical,8.50116049797175e+19,8.50116049797175e+19
592,1023,341,1.0927080579505524,1.0927080579505524,197.44764216655793,1798208433,0.454115381484319,naive_classical,1.38023823485103e+20,1.38023823485103e+20
600,1023,341,1.092122338562801,1.092122338562801,199.81613081742114,2542519384,0.454441565595615,naive_classical,2.24055982315295e+20,2.24055982315295e+20
608,1023,341,1.0915519135294018,1.0915519135294018,202.18429190649326,3596798087,0.454760989851828,naive_classical,3.63652702610617e+20,3.63652702610617e+20
616,1023,341,1.090996212291136,1.090996212291136,204.55213479806812,5090771130,0.455074050709426,naive_classical,5.90132041217885e+20,5.90132041217885e+20
624,1023,341,1.0904547249634755,1.0904547249634755,206.91966830113475,7208650396,0.455381115359549,naive_classical,9.57525118723138e+20,9.57525118723138e+20
632,1023,341,1.0899269741561055,1.0899269741561055,209.28690070289923,10212088603,0.455682522930962,naive_classical,1.55344765132545e+21,1.55344765132545e+21
640,1023,341,1.0894124873815996,1.0894124873815996,211.6538398028074,14472857413,0.455978585604546,naive_classical,2.51996089133914e+21,2.51996089133914e+21
648,1023,341,1.0889107779597613,1.0889107779597613,214.02049294644104,20519393787,0.45626958989034,naive_classical,4.08736963404873e+21,4.08736963404873e+21
656,1023,341,1.0884213380576402,1.0884213380576402,216.38686705662116,29103131996,0.456555798180673,naive_classical,6.62896141022157e+21,6.62896141022157e+21
664,1023,341,1.0879436432941563,1.0879436432941563,218.75296866060134,41293065574,0.456837450560956,naive_classical,1.07496332640643e+22,1.07496332640643e+22
672,1023,341,1.0874771633579188,1.0874771633579188,221.11880391564677,58610604508,0.457114766704024,naive_classical,1.74293372532594e+22,1.74293372532594e+22
680,1023,341,1.0870217026815252,1.0870217026815252,223.48437863630525,83218280648,0.45738795825522,naive_classical,2.82569287003048e+22,2.82569287003048e+22
688,1023,341,1.0865758371321173,1.0865758371321173,225.8496983301549,118211662007,0.457657180016886,naive_classical,4.57973985953093e+22,4.57973985953093e+22
696,1023,341,1.0861433890004808,1.0861433890004808,228.21476821168687,167897863283,0.457922739047208,naive_classical,7.42640619945842e+22,7.42640619945842e+22
704,1023,341,1.0857169441674304,1.0857169441674304,230.5795930597691,238666548954,0.458184566819902,naive_classical,1.20322876226573e+23,1.20322876226573e+23
712,1023,341,1.0853012856226592,1.0853012856226592,232.94417770370373,339302434705,0.458442972483766,naive_classical,1.94975079545956e+23,1.94975079545956e+23
720,1023,341,1.0848949688469507,1.0848949688469507,235.30852650499511,482496386474,0.458698052531413,naive_classical,3.15920652814048e+23,3.15920652814048e+23
728,1023,341,1.0844975243499537,1.0844975243499537,237.67264366299645,686306838433,0.458949922945354,naive_classical,5.11836942827564e+23,5.11836942827564e+23
736,1023,341,1.0841086602161905,1.0841086602161905,240.03653317102308,976462259266,0.45919869451881,naive_classical,8.29164209568579e+23,8.29164209568579e+23
744,1023,341,1.083728097362289,1.083728097362289,242.4001988310308,1389637048916,0.459444468412778,naive_classical,1.34309074331311e+24,1.34309074331311e+24
752,1023,341,1.0833555689102448,1.0833555689102448,244.76364426755092,1978117994822,0.459687336925374,naive_classical,2.17533733928737e+24,2.17533733928737e+24
760,1023,341,1.0829908195641373,1.0829908195641373,247.1268729406879,2816463762772,0.459927384207069,naive_classical,3.52293695252755e+24,3.52293695252755e+24
768,1023,341,1.082633605064456,1.082633605064456,249.48988815823674,4011009987497,0.460164686927585,naive_classical,5.70480321781126e+24,5.70480321781126e+24
776,1023,341,1.0822837688658986,1.0822837688658986,251.85269308684946,5713368044636,0.460399317394067,naive_classical,9.23723137542111e+24,9.23723137542111e+24
784,1023,341,1.0819409285251445,1.0819409285251445,254.21529076303483,8140050298598,0.460631333997124,naive_classical,1.49552617344896e+25,1.49552617344896e+25
792,1023,341,1.0816049312801739,1.0816049312801739,256.57768410219893,11599816441540,0.460860796495179,naive_classical,2.42104850697464e+25,2.42104850697464e+25
800,1023,341,1.0812755084769863,1.0812755084769863,258.9398759086259,16533537694305,0.46108775534551,naive_classical,3.91890375999625e+25,3.91890375999625e+25
808,1023,341,1.0809527658593234,1.0809527658593234,261.3018688817874,23569294971025,0.461312268084983,naive_classical,6.34318501130905e+25,6.34318501130905e+25
816,1023,341,1.0806356755006246,1.0806356755006246,263.6636656361904,33608660581220,0.461534350799929,naive_classical,1.0264784782485e+26,1.0264784782485e+26
824,1023,341,1.0803256010003788,1.0803256010003788,266.025268664732,47925281609204,0.461754093059561,naive_classical,1.66129024699932e+26,1.66129024699932e+26
832,1023,341,1.080022423955308,1.080022423955308,268.38668049643167,68340455531350,0.461971532483849,naive_classical,2.68907799251259e+26,2.68907799251259e+26
840,1023,341,1.0797221274351474,1.0797221274351474,270.7479032762319,97515904495077,0.462186576242849,naive_classical,4.34944219392318e+26,4.34944219392318e+26
848,1023,341,1.079427867494454,1.079427867494454,273.1089395418269,139158429801638,0.462399361768788,naive_classical,7.03510037095281e+26,7.03510037095281e+26
856,1023,341,1.0791410077348966,1.0791410077348966,275.4697913360776,198545273307556,0.462609965399984,naive_classical,1.13834469278602e+27,1.13834469278602e+27
864,1023,341,1.078857045571879,1.078857045571879,277.83046101547103,283436884162293,0.462818269736183,naive_classical,1.84073976170624e+27,1.84073976170624e+27
872,1023,341,1.0785796595266528,1.0785796595266528,280.190950501992,404578454138809,0.463024421584152,naive_classical,2.97732002385472e+27,2.97732002385472e+27
880,1023,341,1.0783080830496643,1.0783080830496643,282.5512618883723,577486528523547,0.463228420814051,naive_classical,4.81626819017251e+27,4.81626819017251e+27
888,1023,341,1.0780408815716198,1.0780408815716198,284.91139729780167,824465226955643,0.463430243633114,naive_classical,7.78950628474326e+27,7.78950628474326e+27
896,1023,341,1.077777985190668,1.077777985190668,287.2713586554762,1177297344227886,0.463629909047967,naive_classical,1.25958873965418e+28,1.25958873965418e+28
904,1023,341,1.07751957395062,1.07751957395062,289.6311478903717,1681333022288546,0.463827442711314,naive_classical,2.0365726354453e+28,2.0365726354453e+28
912,1023,341,1.0772670207679762,1.0772670207679762,291.9907669766036,2400736131034697,0.464022907729252,naive_classical,3.29374165965107e+28,3.29374165965107e+28
920,1023,341,1.0770160845057577,1.0770160845057577,294.3502175545168,3429953214846472,0.464216183444464,naive_classical,5.32278648031641e+28,5.32278648031641e+28
928,1023,341,1.076770833823103,1.076770833823103,296.70950168032437,4899193428600436,0.464407418429035,naive_classical,8.6042723419966e+28,8.6042723419966e+28
936,1023,341,1.0765299452299186,1.0765299452299186,299.06862108345223,6997314870116799,0.464596584971434,naive_classical,1.39085115486718e+29,1.39085115486718e+29
944,1023,341,1.076292954165489,1.076292954165489,301.42757754383325,9993247610387018,0.464783682563189,naive_classical,2.24800925128304e+29,2.24800925128304e+29
952,1023,341,1.0760579891748974,1.0760579891748974,303.7863729430496,14274312621543410,0.464968664599145,naive_classical,3.6312863779926e+29,3.6312863779926e+29
960,1023,341,1.0758319287827307,1.0758319287827307,306.1450087392905,20361234134699488,0.465151766767027,naive_classical,5.87328209615179e+29,5.87328209615179e+29
968,1023,341,1.0756045947899855,1.0756045947899855,308.5034866686991,29054863283164404,0.465332673064492,naive_classical,9.48596985824308e+29,9.48596985824308e+29
976,1023,341,1.075382971437413,1.075382971437413,310.86180865323684,41402732784975080,0.465511621470846,naive_classical,1.53282522427311e+30,1.53282522427311e+30
984,1023,341,1.0751653460419364,1.0751653460419364,313.2199762799407,58903613111991120,0.465688568756628,naive_classical,2.47699237892594e+30,2.47699237892594e+30
992,1023,341,1.074949348434498,1.074949348434498,315.5779910860208,83639633808956080,0.465863450806475,naive_classical,4.00038958562744e+30,4.00038958562744e+30
1000,1023,341,1.0747381090176684,1.0747381090176684,317.935854816164,118319640119385792,0.466036379726969,naive_classical,6.46269063981487e+30,6.46269063981487e+30
1008,1023,341,1.0745284969316193,1.0745284969316193,320.2935691603078,166574736449422400,0.466207267001568,naive_classical,1.04348466419284e+31,1.04348466419284e+31
1016,1023,341,1.0743236708037653,1.0743236708037653,322.65113549861553,232684356150814816,0.466376224897581,naive_classical,1.6854586323163e+31,1.6854586323163e+31
1024,1023,341,1.0741230863710487,1.0741230863710487,325.0085554778621,321491336484750720,0.466543247192048,naive_classical,2.72305032636352e+31,2.72305032636352e+31
